state,new_case,tot_cases,new_death,tot_death
MN,53323,201795,338,2849
MO,0,0,0,0
MO,0,0,0,0
MO,1327,1327,14,14
MO,6235,7562,315,329
MO,5585,13147,443,772
MO,8404,21551,243,1015
MO,28772,50323,228,1243
MO,34374,84697,287,1530
MO,41416,126113,588,2118
MO,59422,185535,908,3026
MO,39836,225371,313,3339
MS,0,0,0,0
MS,0,0,0,0
MS,1073,1073,22,22
MS,6139,7212,260,282
MS,8540,15752,457,739
MS,12148,27900,343,1082
MS,31981,59881,611,1693
MS,23703,83584,800,2493
MS,15302,98886,486,2979
MS,21614,120500,369,3348
MS,11470,131970,171,3519
MT,0,0,0,0
MT,0,0,0,0
MT,203,203,5,5
MT,250,453,11,16
MT,62,515,1,17
MT,503,1018,5,22
MT,2947,3965,38,60
MT,3528,7493,45,105
MT,5900,13393,76,181
MT,19408,32801,194,375
MT,10230,43031,97,472
NC,0,0,0,0
NC,0,0,0,0
NC,1498,1498,8,8
NC,9011,10509,370,378
NC,18081,28590,508,886
NC,36147,64737,457,1343
NC,58344,123081,581,1924
NC,47003,170084,778,2702
NC,40548,210632,830,3532
NC,64003,274635,846,4378
NC,28819,303454,328,4706
ND,0,0,0,0
ND,0,0,0,0
ND,126,126,3,3
ND,941,1067,16,19
ND,1510,2577,42,61
ND,999,3576,18,87
ND,3026,6602,24,103
ND,5398,12000,42,145
ND,10218,22218,111,256
ND,22825,45043,275,531
ND,15559,60602,176,707
NE,0,0,0,0
NE,0,0,0,0
NE,177,177,3,3
NE,4104,4281,67,70
NE,9820,14101,100,170
NE,5076,19177,104,274
NE,7034,26211,58,332
NE,8076,34287,65,397
NE,11277,45564,81,478
NE,25168,70732,174,652
NE,21821,92553,104,756
NH,0,0,0,0
NH,0,0,0,0
NH,367,367,3,3
NH,1779,2146,69,72
NH,2505,4651,173,245
NH,1131,5782,126,371
NH,801,6583,44,415
NH,692,7275,17,432
NH,991,8266,7,439
NH,2818,11084,44,483
NH,2386,13470,12,495
NJ,0,0,0,0
NJ,0,0,0,0
NJ,18696,18696,267,267
NJ,99956,118652,6961,7228
NJ,41793,160445,4470,11698
NJ,11222,171667,3337,15035
NJ,9993,181660,784,15825
NJ,10300,191960,126,15953
NJ,13315,205275,177,16122
NJ,32611,237886,228,16350
NJ,29100,266986,145,16495
NM,0,0,0,0
NM,0,0,0,0
NM,315,315,5,5
NM,3096,3411,118,123
NM,4278,7689,233,356
NM,4458,12147,141,497
NM,8453,20600,145,642
NM,4752,25352,137,779
NM,4083,29435,98,877
NM,17055,46490,141,1018
NM,14286,60776,158,1176
NV,0,0,0,0
NV,0,0,0,0
NV,1113,1113,26,29
NV,3894,5007,226,252
NV,3603,8610,186,438
NV,10074,18684,91,536
NV,29628,48312,327,856
NV,21172,69484,478,1334
NV,10601,80085,308,1642
NV,20678,100763,135,1777
NV,14117,114880,103,1880
NY,0,0,0,0
NY,0,0,0,0
NY,32656,32656,211,211
NY,104238,136894,5134,5345
NY,30573,167467,2785,8130
NY,10808,178275,550,8680
NY,11591,189866,161,8841
NY,10653,200519,111,8952
NY,14089,214608,89,9041
NY,29663,244271,222,9263
NY,24515,268786,175,9438
OH,0,0,0,0
OH,0,0,0,0
OH,2199,2199,55,55
OH,15828,18027,920,975
OH,17486,35513,1180,2155
OH,16276,51789,708,2863
OH,39370,91159,626,3489
OH,31998,123157,649,4138
OH,30830,153987,666,4804
OH,61710,215697,497,5301
OH,58760,274457,357,5658
OK,0,0,0,0
OK,0,0,0,0
OK,565,565,23,23
OK,3053,3618,199,222
OK,2662,6280,111,333
OK,6937,13217,68,401
OK,25888,39105,140,541
OK,25003,64108,259,800
OK,29334,93442,237,1037
OK,35749,129191,307,1344
OK,26438,155629,153,1497
OR,0,0,0,0
OR,1,1,0,0
OR,689,690,18,18
OR,1820,2510,85,103
OR,1733,4243,50,153
OR,4413,8656,54,207
OR,9837,18493,115,322
OR,8220,26713,137,459
OR,6796,33509,100,559
OR,11412,44921,130,689
OR,8958,53879,57,746
PA,0,0,0,0
PA,0,0,0,0
PA,4843,4843,63,63
PA,40920,45763,2229,2292
PA,26519,72282,3275,5567
PA,14960,87242,1120,6687
PA,25694,112936,517,7204
PA,21089,134025,469,7673
PA,24942,158967,469,8142
PA,49060,208027,670,8812
PA,40829,248856,382,9194
RI,0,0,0,0
RI,0,0,0,0
RI,520,520,8,8
RI,8101,8621,258,266
RI,6307,14928,452,718
RI,1885,16813,232,950
RI,2209,19022,57,1007
RI,2927,21949,41,1048
RI,2799,24748,66,1114
RI,8126,32874,87,1201
RI,7890,40764,49,1250
SC,0,0,0,0
SC,0,0,0,0
SC,1083,1083,22,22
SC,5012,6095,222,244
SC,5766,11861,250,494
SC,24538,36399,245,739
SC,52617,89016,973,1712
SC,29976,118992,1008,2720
SC,28950,147942,658,3378
SC,28670,176612,557,3935
SC,13878,190490,149,4084
SD,0,0,0,0
