State,Month,2019_rate,2020_rate,%_dif
ND,Jan,0.9,1.29,0.39
ND,Feb,1.0,1.23,0.22999999999999998
ND,Mar,1.09,1.21,0.11999999999999988
ND,Apr,1.07,1.16,0.08999999999999986
ND,May,1.04,1.21,0.16999999999999993
NE,Jan,0.86,0.85,-0.010000000000000009
NE,Feb,0.88,0.84,-0.040000000000000036
NE,Mar,0.89,0.87,-0.020000000000000018
NE,Apr,0.86,0.96,0.09999999999999998
NE,May,0.82,1.02,0.20000000000000007
NH,Jan,3.58,3.16,-0.41999999999999993
NH,Feb,3.6,3.09,-0.5100000000000002
NH,Mar,3.51,3.07,-0.43999999999999995
NH,Apr,3.5,3.12,-0.3799999999999999
NH,May,3.43,3.16,-0.27
NJ,Jan,3.8,3.82,0.020000000000000018
NJ,Feb,3.85,3.81,-0.040000000000000036
NJ,Mar,3.77,3.8,0.029999999999999805
NJ,Apr,3.74,3.31,-0.43000000000000016
NJ,May,3.7,3.23,-0.4700000000000002
NM,Jan,2.77,3.38,0.6099999999999999
NM,Feb,2.85,3.41,0.56
NM,Mar,2.82,3.44,0.6200000000000001
NM,Apr,2.91,3.39,0.48
NM,May,2.97,3.35,0.3799999999999999
NV,Jan,2.96,2.64,-0.31999999999999984
NV,Feb,2.96,2.61,-0.3500000000000001
NV,Mar,2.93,2.64,-0.29000000000000004
NV,Apr,2.92,2.7,-0.21999999999999975
NV,May,2.99,2.79,-0.20000000000000018
NY,Jan,2.15,2.15,0.0
NY,Feb,2.15,2.18,0.03000000000000025
NY,Mar,2.17,2.19,0.020000000000000018
NY,Apr,2.16,2.1,-0.06000000000000005
NY,May,2.13,2.13,0.0
OH,Jan,3.28,3.48,0.20000000000000018
OH,Feb,3.27,3.51,0.23999999999999977
OH,Mar,3.29,3.5,0.20999999999999996
OH,Apr,3.34,3.51,0.16999999999999993
OH,May,3.35,3.64,0.29000000000000004
OK,Jan,1.72,1.55,-0.16999999999999993
OK,Feb,1.69,1.56,-0.1299999999999999
OK,Mar,1.63,1.63,0.0
OK,Apr,1.61,1.65,0.039999999999999813
OK,May,1.56,1.7,0.1399999999999999
OR,Jan,1.52,1.68,0.15999999999999992
OR,Feb,1.54,1.68,0.1399999999999999
OR,Mar,1.56,1.71,0.1499999999999999
OR,Apr,1.57,1.73,0.15999999999999992
OR,May,1.52,1.86,0.3400000000000001
PA,Jan,3.26,3.3,0.040000000000000036
PA,Feb,3.28,3.33,0.050000000000000266
PA,Mar,3.28,3.35,0.07000000000000028
PA,Apr,3.26,3.32,0.06000000000000005
PA,May,3.22,3.33,0.10999999999999988
RI,Jan,3.29,3.02,-0.27
RI,Feb,3.3,3.08,-0.21999999999999975
RI,Mar,3.29,3.09,-0.20000000000000018
RI,Apr,3.28,3.11,-0.16999999999999993
