,State,Date,%_death
2207,NY,2020-03-01,2.19
2208,NY,2020-04-01,2.1
2209,NY,2020-05-01,2.13
2270,OH,2020-01-01,3.48
2271,OH,2020-02-01,3.51
2272,OH,2020-03-01,3.5
2273,OH,2020-04-01,3.51
2274,OH,2020-05-01,3.64
2335,OK,2020-01-01,1.55
2336,OK,2020-02-01,1.56
2337,OK,2020-03-01,1.63
2338,OK,2020-04-01,1.65
2339,OK,2020-05-01,1.7
2400,OR,2020-01-01,1.68
2401,OR,2020-02-01,1.68
2402,OR,2020-03-01,1.71
2403,OR,2020-04-01,1.73
2404,OR,2020-05-01,1.86
2465,PA,2020-01-01,3.3
2466,PA,2020-02-01,3.33
2467,PA,2020-03-01,3.35
2468,PA,2020-04-01,3.32
2469,PA,2020-05-01,3.33
2530,RI,2020-01-01,3.02
2531,RI,2020-02-01,3.08
2532,RI,2020-03-01,3.09
2533,RI,2020-04-01,3.11
2534,RI,2020-05-01,3.01
2595,SC,2020-01-01,2.28
2596,SC,2020-02-01,2.32
2597,SC,2020-03-01,2.43
2598,SC,2020-04-01,2.51
2599,SC,2020-05-01,2.64
2660,SD,2020-01-01,1.05
2661,SD,2020-02-01,1.03
2662,SD,2020-03-01,1.09
2663,SD,2020-04-01,1.13
2664,SD,2020-05-01,1.08
2725,TN,2020-01-01,2.83
2726,TN,2020-02-01,2.88
2727,TN,2020-03-01,2.96
2728,TN,2020-04-01,3.05
2729,TN,2020-05-01,3.24
2790,TX,2020-01-01,1.54
2791,TX,2020-02-01,1.56
2792,TX,2020-03-01,1.58
2793,TX,2020-04-01,1.61
2794,TX,2020-05-01,1.64
2855,UT,2020-01-01,2.92
2856,UT,2020-02-01,2.89
2857,UT,2020-03-01,2.83
2858,UT,2020-04-01,2.88
2859,UT,2020-05-01,2.92
2920,VA,2020-01-01,2.23
2921,VA,2020-02-01,2.22
2922,VA,2020-03-01,2.23
2923,VA,2020-04-01,2.24
2924,VA,2020-05-01,2.34
2985,VT,2020-01-01,2.05
2986,VT,2020-02-01,1.93
2987,VT,2020-03-01,1.98
2988,VT,2020-04-01,2.13
2989,VT,2020-05-01,2.33
3050,WA,2020-01-01,2.16
3051,WA,2020-02-01,2.18
3052,WA,2020-03-01,2.24
3053,WA,2020-04-01,2.33
3054,WA,2020-05-01,2.43
3115,WI,2020-01-01,2.28
3116,WI,2020-02-01,2.35
3117,WI,2020-03-01,2.33
3118,WI,2020-04-01,2.34
3119,WI,2020-05-01,2.43
3180,WV,2020-01-01,3.85
3181,WV,2020-02-01,3.9
3182,WV,2020-03-01,3.92
3183,WV,2020-04-01,4.01
3184,WV,2020-05-01,4.45
3245,WY,2020-01-01,1.64
3246,WY,2020-02-01,1.67
3247,WY,2020-03-01,1.7
3248,WY,2020-04-01,1.72
3249,WY,2020-05-01,1.83
